=======================================
FemaleLeftHand0 54
QiDongDiceMachine 1 1
QiDongDiceMachineEndTaiHand 1 1
ChaPai_MovHand 1.53 1
MoveHandOutScreen 2.84 1
MoveHandToDstPos 0.56 0.873
=======================================
FemaleRightHand3 54
zhuaHandPai 0.67 1
ZhuaHandPai2EndBackMoveHandPai 1 1
ZhuaHandPai2 1 1
TuiDaoHandPaiEndTaiHand 1.64 1
TiHandPai 0.64 1
TaiHand 1.25 0.745
ShowPai 1 1
QiDongDiceMachineReadyHand 1 1
QiDongDiceMachineEndTaiHand 1 1
QiDongDiceMachine 0.64 1
PutDownHandPai2 1.47 0.503
PutDownHandPai1 2.56 1
PengPaiFirstHand 1 1
PengPaiEndTaiHand 1 1
PengPai 1 1
MovHandPai 1.1 1
HuPaiFirstHand 0.75 1
FirstTaiHand3EndDaPai5EndTaiHand 0.71 0.722
FirstTaiHand3EndDaPai5 1.66 1
FirstTaiHand3 1 1
FirstTaiHand2EndDaPai4EndTaiHand 0.25 0.227
FirstTaiHand2EndDaPai4 2.06 1
FirstTaiHand2 1 1
FirstTaiHand1EndHuPaiEndTaiHand 1 1
FirstTaiHand1EndHuPai 1 1
FirstTaiHand1 1 1
FirstHand 4.14 1
DaPaiFirstHand2 1 1
DaPaiFirstHand 1 1
DaPai3EndTaiHand 0.22 0.754
DaPai3 0.58 1
DaPai2EndMovPaiEndTaiHand2 0.83 0.839
DaPai2EndMovPaiEndTaiHand1 0.98 0.834
DaPai2EndMovPai 1.09 1
DaPai1_2_b 1 1
DaPai1_2_a 1 1
DaPai1_1_b 3.5 1
DaPai1_1_a 1.6 1
DaPai1EndZhengPaiEndTaiHand 1.14 0.91
DaPai1EndZhengPai 0.55 0.587
DaPai1EndTiaoZhengHandEndMovPai1 0.63 1
DaPai1EndTiaoZhengHand 1 1
DaPai1EndTaiHand2 0.36 0.651
DaPai1EndTaiHand1 0.51 0.737
DaPai1EndMovPai2EndTaiHand 1 1
DaPai1EndMovPai1EndZhengPaiEndTaiHand 0.78 0.846
DaPai1EndMovPai1EndZhengPai 0.71 0.96
DaPai1EndMovPai1EndTaiHand2 0.42 0.508
DaPai1EndMovPai1EndTaiHand1 1.5 0.525
DaPai1 2.51 1
BackMoveHandPaiEndTuiDaoHandPai 1 1
ChaPai_MovHand 0.91 1
MoveHandOutScreen 1.47 1
MoveHandToDstPos 1.08 0.832
=======================================
MaleLeftHand3 54
FirstHand 4.52 1
zhuaHandPai 1 1
TiHandPai 0.64 1
MovHandPai 2.25 1
PutDownHandPai1 2.56 1
TaiHand 1.25 0.82
PutDownHandPai2 2.56 0.533
ShowPai 1 1
DaPaiFirstHand 1 1
DaPai1 2.49 1
DaPai1_1_a 1.6 1
DaPai1_1_b 3.5 1
DaPai1_2_a 1 1
DaPai1_2_b 1 1
DaPai1EndTaiHand1 0.51 0.604
DaPai1EndTaiHand2 0.36 0.658
DaPai1EndZhengPai 0.73 0.53
DaPai1EndZhengPaiEndTaiHand 1.14 0.91
DaPai1EndTiaoZhengHand 1 1
DaPai1EndTiaoZhengHandEndMovPai1 1 1
DaPai1EndMovPai1EndTaiHand2 0.42 0.202
DaPai1EndMovPai1EndTaiHand1 0.49 0.17
DaPai1EndMovPai1EndZhengPai 1.33 0.806
DaPai1EndMovPai1EndZhengPaiEndTaiHand 1.21 0.846
DaPai1EndMovPai2EndTaiHand 1 1
DaPai2EndMovPai 0.69 1
DaPai2EndMovPaiEndTaiHand1 0.98 0.834
DaPai2EndMovPaiEndTaiHand2 0.83 0.839
DaPai3 1.78 1
DaPai3EndTaiHand 0.22 0.837
HuPaiFirstHand 0.75 1
FirstTaiHand1 1 1
FirstTaiHand1EndHuPai 1 1
FirstTaiHand1EndHuPaiEndTaiHand 1 1
FirstTaiHand2 1 1
FirstTaiHand2EndDaPai4 2.4 1
FirstTaiHand2EndDaPai4EndTaiHand 0.37 0.558
PengPaiFirstHand 1 1
PengPai 1 1
PengPaiEndTaiHand 1 1
DaPaiFirstHand2 1 1
FirstTaiHand3 1 1
FirstTaiHand3EndDaPai5 1 1
FirstTaiHand3EndDaPai5EndTaiHand 1 1
ZhuaHandPai2 1 1
ZhuaHandPai2EndBackMoveHandPai 1 1
BackMoveHandPaiEndTuiDaoHandPai 1 1
TuiDaoHandPaiEndTaiHand 1 1
QiDongDiceMachineReadyHand 1 1
QiDongDiceMachine 1 1
QiDongDiceMachineEndTaiHand 1 1
ChaPai_MovHand 1.53 1
MoveHandOutScreen 2.84 1
MoveHandToDstPos 0.56 0.873
=======================================
MaleRightHand3 54
FirstHand 4.52 1
zhuaHandPai 1 1
TiHandPai 0.64 1
MovHandPai 2.25 1
PutDownHandPai1 2.56 1
TaiHand 1.25 0.82
PutDownHandPai2 2.56 0.533
ShowPai 1 1
DaPaiFirstHand 1 1
DaPai1 2.49 1
DaPai1_1_a 1.6 1
DaPai1_1_b 3.5 1
DaPai1_2_a 1 1
DaPai1_2_b 1 1
DaPai1EndTaiHand1 0.51 0.604
DaPai1EndTaiHand2 0.36 0.658
DaPai1EndZhengPai 0.73 0.53
DaPai1EndZhengPaiEndTaiHand 1.14 0.91
DaPai1EndTiaoZhengHand 1 1
DaPai1EndTiaoZhengHandEndMovPai1 1 1
DaPai1EndMovPai1EndTaiHand2 0.42 0.202
DaPai1EndMovPai1EndTaiHand1 0.49 0.17
DaPai1EndMovPai1EndZhengPai 1.33 0.806
DaPai1EndMovPai1EndZhengPaiEndTaiHand 1.21 0.846
DaPai1EndMovPai2EndTaiHand 1 1
DaPai2EndMovPai 0.69 1
DaPai2EndMovPaiEndTaiHand1 0.98 0.834
DaPai2EndMovPaiEndTaiHand2 0.83 0.839
DaPai3 3.44 1
DaPai3EndTaiHand 0.22 0.837
HuPaiFirstHand 0.75 1
FirstTaiHand1 1 1
FirstTaiHand1EndHuPai 1 1
FirstTaiHand1EndHuPaiEndTaiHand 1 1
FirstTaiHand2 1 1
FirstTaiHand2EndDaPai4 2.4 1
FirstTaiHand2EndDaPai4EndTaiHand 0.37 0.558
PengPaiFirstHand 1 1
PengPai 1 1
PengPaiEndTaiHand 1 1
DaPaiFirstHand2 1 1
FirstTaiHand3 1 1
FirstTaiHand3EndDaPai5 1 1
FirstTaiHand3EndDaPai5EndTaiHand 1 1
ZhuaHandPai2 1 1
ZhuaHandPai2EndBackMoveHandPai 1 1
BackMoveHandPaiEndTuiDaoHandPai 1 1
TuiDaoHandPaiEndTaiHand 1 1
QiDongDiceMachineReadyHand 1 1
QiDongDiceMachine 1 1
QiDongDiceMachineEndTaiHand 1 1
ChaPai_MovHand 1.53 1
MoveHandOutScreen 2.84 1
MoveHandToDstPos 0.56 0.873
